2025-04-18 13:44:51,448 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-04-18 13:44:51,448 - INFO - 当前评分模式: ['range_ratio']
2025-04-18 13:44:51,448 - INFO - 
==================================================
2025-04-18 13:44:51,448 - INFO - 开始执行网格搜索...
2025-04-18 13:44:51,449 - INFO - [omi-12] Starting grid search...
2025-04-18 13:44:54,356 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:44:55,857 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:44:55,858 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:44:55,858 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:55,858 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:55,859 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,123 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,124 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,691 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,691 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,691 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=5.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,837 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=5.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,838 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=6.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,838 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=6.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=7.0, P=0.6607, R=0.9250, F1=0.7708
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=1.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=2.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=3.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,839 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=4.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,840 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=5.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,840 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=5.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:44:56,840 - INFO - [omi-12.txt] mode=range_ratio, corr_threshold=0.0, threshold=6.0, P=0.6491, R=0.9250, F1=0.7629
